"","UnifiedScore"
"1",-0.210435241076209
"2",4.97659505866465
"3",4.11962702597807
"4",5.78008578301794
"5",8.3672356225424
"6",-0.94610016266168
"7",-2.37241168169316
"8",6.79509984832026
"9",-4.77866378247741
"10",3.55205393180229
"11",-1.07515584267027
"12",2.45448004449081
"13",-3.50554078048549
"14",-2.94906592801339
"15",-1.02861992292131
"16",6.52539069087061
"17",-3.3447898536229
"18",5.31679081879606
"19",-7.25965146988498
"20",-0.658491951490559
"21",-4.06967175055176
"22",-6.17557174167591
"23",0.118667945198333
"24",-3.10598121208674
"25",-4.35453663091544
"26",-3.05488877409954
"27",1.53893988210527
"28",-5.36456195634658
"29",5.13213448321664
"30",0.915335794854064
"31",5.51946695711368
"32",9.55590868764178
"33",-6.77680726408746
"34",2.97837417505662
"35",-2.14635732271721
"36",-6.13228693926455
"37",0.886642867679358
"38",-2.19470946157583
"39",-2.11402284393426
"40",-1.13938124045528
"41",2.76709030100284
"42",-1.36263863344787
"43",-5.17865914950254
"44",1.58933426141062
"45",-3.1818748886128
"46",-1.45851589590311
"47",-1.28673746972144
"48",-4.09544082692606
"49",-3.8067772226366
"50",-4.64191529456214
"51",3.00125033967578
"52",-1.91591885837586
"53",0.125483395000675
"54",2.7167821788152
"55",-2.62847216894728
"56",-2.28192973248326
"57",9.38403719084609
"58",-0.582982561019161
"59",-2.77086600495136
"60",-4.86460807997153
"61",5.00877958311864
"62",4.75797181313353
"63",8.07498163643988
"64",-1.73956037659018
"65",-1.25296490248828
"66",-3.86908061785093
"67",-2.80153065806208
"68",1.75336755522059
"69",-1.86916884127763
"70",0.721375429132691
"71",-1.52765870914116
"72",0.83257515465769
"73",1.02923824674471
"74",-0.241865766367829
"75",1.87953212852086
"76",-1.93656909321545
"77",1.34243651433004
"78",-4.52944631684057
"79",-4.93008909722643
"80",-1.27260227525609
"81",7.23449503124192
"82",0.672157439471165
"83",-0.883934624911891
"84",0.606183111506192
"85",-3.85363337828682
"86",-0.360222971686453
"87",2.28223988537839
"88",-3.27144406759563
"89",5.34486486994443
"90",0.521932836529243
"91",1.77271815174836
"92",-0.670432842341751
"93",-5.78553691648278
"94",6.03801460043872
"95",6.70889284199236
"96",-0.304075611164017
"97",1.46117608235509
"98",-3.49984759460769
"99",-1.78213425157446
"100",-0.278731717365083
"101",-1.93904440631789
"102",8.2139743568994
"103",1.49830075292954
"104",-1.75370390284909
"105",4.06246677264032
"106",3.75813584380056
"107",1.22340272149528
"108",1.95064342078472
"109",-8.84304330173546
"110",-1.76255772555788
"111",5.24794697141629
"112",-2.31024253042753
"113",4.58980258284032
"114",2.30170583098792
"115",-3.17466958884973
"116",-1.44472168890785
"117",3.27874302631221
"118",-0.0809348386759352
"119",-2.24412183819963
"120",3.52439544820073
"121",-3.88984809747414
"122",-3.62349955399364
"123",8.29232925027194
"124",6.27461589559148
"125",-2.36929048922714
"126",-6.50994962033998
"127",1.13313791759027
"128",-0.851689957109359
"129",-2.99255038379883
"130",0.40279325652709
"131",1.39040890700317
"132",0.144507868250399
"133",1.21536252065997
"134",3.25485266295981
"135",-8.5243760836023
"136",6.03474955937874
"137",-1.56405930164322
"138",4.4378114948239
"139",-4.66145957445314
"140",5.98323630023889
"141",-4.77372066106201
"142",1.18719897275303
"143",-3.97554444918545
"144",-3.96122633801264
"145",3.19593203311996
"146",-2.74635000679328
"147",2.48082591907914
"148",1.13387551688349
"149",3.62420335992261
"150",-1.02422510844096
"151",1.82331103833883
"152",0.351565971697383
"153",-0.528794858556087
"154",-1.75370390284909
"155",-0.893123878533719
"156",-5.025209993935
"157",2.28223988537839
"158",7.84308149864247
"159",-0.00298599498783708
"160",-5.61802164500064
"161",-3.63138892616604
"162",4.14270000710067
"163",-1.69286656667673
"164",0.350271955337168
"165",-3.15997427904797
"166",1.02923824674471
"167",-1.62445742400926
"168",-1.89641386418491
"169",9.60340405423318
"170",1.17349696287945
"171",1.37286346573265
"172",9.01330815688613
"173",-1.88007363284166
"174",-8.50472488828102
"175",-2.31566701390272
"176",-2.03212555839712
"177",-3.92464755620835
